Visitor,Home,Week,Winner,HDAVE,VDAVE,HOff,VOff,HDef,VDef,HTotal,VTotal,HSpec,VSpec,log(HDAVE),log(VDAVE),14HPyth,14HEst,14HOff,14HDef,14HTotal,14VPyth,14VEst,14VOff,14VDef,14VTotal,Home Cushion,Spread,Open Spread,HWin,VWin
Jets,@Patriots,7,NA,37.5,19.6,32.8,5.4,3.7,29.4,44.4,26.9,7.9,-7.9,,,11.8,10.8,13.5,3,22.1,4.8,5.9,-11.2,-3.5,-15.5,0,-7,-9,1,0.8
Raiders,@Chargers,7,0,-5.6,-4.7,6.7,-2.5,-8.7,-3.9,-8.3,-2.9,-6.3,3.5,,,8,8,7,-4.9,-0.6,3.1,4.8,-19.4,-6.3,-27.4,-11.5,-3.5,-5.5,0.333,0.4
Cowboys,@Giants,7,1,2,-11.3,-0.9,-6.1,1.5,-6.8,3.2,-14.5,2.6,-1.6,,,7.5,7,-0.3,-4.9,-5.8,10.8,10.3,16.8,-4,13.7,4,-3,-6,0.5,0.4
Eagles,@Panthers,7,1,7.1,15.2,2.1,-5.1,15.9,20.7,11.1,17.1,-6.9,1.5,,,7,7.4,-4.7,1.7,-8.5,9.7,9.7,1.1,3.3,12.8,8,-3,-3.5,1,0.5
Ravens,@Cardinals,7,0,35.4,0.7,23.6,-1.6,19.9,-5.2,45.3,-0.5,1.8,6.3,,,8.3,7.4,-9.3,5,-6.4,10.9,11.5,9.4,4.6,21.9,-2,-10,-7,0.667,0.167
Dolphins,@Patriots,8,1,35.5,1.9,30.6,4.6,0.7,-2.7,39.7,2.2,8.4,0.3,,,11.8,10.8,13.5,3,22.1,8.4,8.8,10.1,-0.5,3.5,21,-8,-7.5,,
Lions,@Chiefs,8,1,2.4,-21.1,3.4,-10.6,-5.1,-12.5,2,-23.5,3.7,-0.4,,,10.1,9.4,5,-1.3,10.4,9.2,8.7,-3.8,13.9,4.4,32,-3,-6,,
Buccaneers,@Falcons,8,0,-1.2,-17.3,6.6,-12.4,-3.7,-6,-1.3,-18.5,-4.2,-0.1,,,7.1,7.2,7.2,-15.7,-5.4,4.4,4.1,-26.3,-1.1,-28.3,-11,-8,-7,,
Cardinals,@Browns,8,0,-14.1,34.7,-9.3,23.8,-12.2,17.4,-14.5,39.2,7,-2,,,6.9,7.2,-10.2,3,-6.7,8.3,7.4,-9.3,5,-6.4,-7,7,5,,
49ers,@Rams,8,1,3.1,-33.8,-16.5,-17.9,16.9,-16.6,1.9,-36.9,1.5,-2.4,,,7.1,6.1,-11.1,3.8,-3.8,7,9,-0.4,10.1,6.6,13.5,-7.5,-9,,
